,ResortName,Place,room,bed,Condition,Price,Rating,TotalReviews
29273,Mae On Village Resort,Roi Et,Holiday Home,Entire holiday home • 1 bedroom • 1 living room • 1 bathroom • 387.5feet²1 extra-large double bed,Very good,US$24,8.5,46 reviews
29274,Verona Lanta Resort,"Koh Lanta Old Town, Ko Lanta",Superior King Room,1 extra-large double bed,Exceptional,US$40,9.7,78 reviews
29275,Karinthip Village,"Chang Moi, Chiang Mai",Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,US$50,8.7,8 reviews
29276,MRK Resort & Massage,Lop Buri,One-Bedroom Chalet,Entire chalet • 1 bedroom • 1 bathroom • 215.3feet²2 double beds,Fabulous,US$22,8.7,38 reviews
29278,Sakthong Resort,Sawankhalok,Standard Queen Room,1 large double bed,Good,US$16,7.9,10 reviews
29279,El Vaso Resort,Ban Map Chalut,Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom2 single beds,Superb,US$60,9.1,21 reviews
29280,The Passion Nest - SHA Plus Certified,Phuket Town,Twin Room with Balcony,2 single beds,Fabulous,US$31,8.8,288 reviews
29281,Isara Lanta Beach Resort,"Klong Khong Beach, Ko Lanta",Standard Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 215.3feet²1 extra-large double bed,Very good,US$24,8.4,107 reviews
29282,Green Chilli Bungalows,"Klong Khong Beach, Ko Lanta",Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 129.2feet²1 large double bed,Good,US$16,7.7,50 reviews
29283,Evie Mae Resort,Ban Cha-om,Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 279.9feet²1 extra-large double bed,Good,US$41,7.7,21 reviews
29284,Chomna Resort,Ban Bua Yai,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 226feet²1 large double bed,Exceptional,US$16,9.5,4 reviews
29285,Phuwadee Resort Khao Yai,Nong Sarai,Standard Double Room,1 extra-large double bed,Very good,US$50,8.3,91 reviews
29286,Chanchaolao Beach Resort,Chao Lao Beach,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Superb,US$46,9,11 reviews
29287,Sunset Beach Villas,"Haad Rin Nai, Haad Rin",Garden Bungalow with Twin bed,Entire bungalow • 1 bedroom • 1 bathroom • 269.1feet²2 single beds,Very good,US$116,8.3,230 reviews
29288,The Silver Palm Wellness Resort,Bangkok,Studio,Entire studio • 1 bathroom • 484.4feet²1 extra-large double bed,Good,US$42,7.9,275 reviews
